create_date,forecast_date,data_source_marker,network_id,master_network_id,timeslot,impression_type,forecast_impressions
2018-02-28,2018-01-04,R,33,,71,H,313039
2018-02-28,2018-01-04,R,33,,72,H,324007
2018-02-28,2018-01-04,R,33,,73,H,334457
2018-02-28,2018-01-04,R,33,,74,H,349849
2018-02-28,2018-01-04,R,33,,75,H,361465
2018-02-28,2018-01-04,R,33,,76,H,377487
2018-02-28,2018-01-04,R,33,,77,H,387471
2018-02-28,2018-01-04,R,33,,78,H,416124
2018-02-28,2018-01-04,R,33,,79,H,417551
2018-02-28,2018-01-04,R,33,,80,H,439377
2018-02-28,2018-01-04,R,33,,81,H,454024
2018-02-28,2018-01-04,R,33,,82,H,468706
2018-02-28,2018-01-04,R,33,,83,H,493353
2018-02-28,2018-01-04,R,33,,84,H,504580
2018-02-28,2018-01-04,R,33,,85,H,530557
2018-02-28,2018-01-04,R,33,,86,H,539363
2018-02-28,2018-01-04,R,33,,87,H,552001
2018-02-28,2018-01-04,R,33,,88,H,562625
2018-02-28,2018-01-04,R,33,,89,H,579001
2018-02-28,2018-01-04,R,33,,90,H,592768
2018-02-28,2018-01-04,R,33,,91,H,597043
2018-02-28,2018-01-04,R,33,,92,H,592521
2018-02-28,2018-01-04,R,33,,93,H,581957
2018-02-28,2018-01-04,R,33,,94,H,583518
2018-02-28,2018-01-04,R,33,,95,H,566732
2018-02-28,2018-01-04,R,33,,96,H,560580
2018-02-28,2018-01-05,R,33,,1,H,552061
2018-02-28,2018-01-05,R,33,,2,H,545240
2018-02-28,2018-01-05,R,33,,3,H,523615
2018-02-28,2018-01-05,R,33,,4,H,508415
2018-02-28,2018-01-05,R,33,,5,H,479933
2018-02-28,2018-01-05,R,33,,6,H,455847
2018-02-28,2018-01-05,R,33,,7,H,436019
2018-02-28,2018-01-05,R,33,,8,H,402677
2018-02-28,2018-01-05,R,33,,9,H,372165
2018-02-28,2018-01-05,R,33,,10,H,339926
2018-02-28,2018-01-05,R,33,,11,H,316187
2018-02-28,2018-01-05,R,33,,12,H,275573
2018-02-28,2018-01-05,R,33,,13,H,249264
2018-02-28,2018-01-05,R,33,,14,H,211116
2018-02-28,2018-01-05,R,33,,15,H,192124
2018-02-28,2018-01-05,R,33,,16,H,167580
2018-02-28,2018-01-05,R,33,,17,H,154137
2018-02-28,2018-01-05,R,33,,18,H,138373
2018-02-28,2018-01-05,R,33,,19,H,113023
2018-02-28,2018-01-05,R,33,,20,H,95623
2018-02-28,2018-01-05,R,33,,21,H,88747
2018-02-28,2018-01-05,R,33,,22,H,80510
2018-02-28,2018-01-05,R,33,,23,H,72402
2018-02-28,2018-01-05,R,33,,24,H,72951
2018-02-28,2018-01-05,R,33,,25,H,66811
2018-02-28,2018-01-05,R,33,,26,H,79806
2018-02-28,2018-01-05,R,33,,27,H,84305
2018-02-28,2018-01-05,R,33,,28,H,79791
2018-02-28,2018-01-05,R,33,,29,H,91033
2018-02-28,2018-01-05,R,33,,30,H,99590
2018-02-28,2018-01-05,R,33,,31,H,103748
2018-02-28,2018-01-05,R,33,,32,H,116547
2018-02-28,2018-01-05,R,33,,33,H,129187
2018-02-28,2018-01-05,R,33,,34,H,137563
2018-02-28,2018-01-05,R,33,,35,H,149800
2018-02-28,2018-01-05,R,33,,36,H,151264
2018-02-28,2018-01-05,R,33,,37,H,171640
2018-02-28,2018-01-05,R,33,,38,H,176180
2018-02-28,2018-01-05,R,33,,39,H,193424
2018-02-28,2018-01-05,R,33,,40,H,195715
2018-02-28,2018-01-05,R,33,,41,H,207472
2018-02-28,2018-01-05,R,33,,42,H,208613
2018-02-28,2018-01-05,R,33,,43,H,208975
2018-02-28,2018-01-05,R,33,,44,H,221523
2018-02-28,2018-01-05,R,33,,45,H,227776
2018-02-28,2018-01-05,R,33,,46,H,229867
2018-02-28,2018-01-05,R,33,,47,H,239836
